id,listing_url,last_scraped,name,host_id,host_name,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,estimated_occupancy_l365d,review_scores_rating,license,calculated_host_listings_count,reviews_per_month
15007,https://www.airbnb.com/rooms/15007,2025-09-28,Blaauwberg House on the beach in Bloubergstrand,59072,Dirk,f,7.0,Ward 23,-33.80001,18.46063,Entire home,Entire home/apt,6,3.0,3.0,4.0,"[""Bathtub"", ""Fire extinguisher"", ""Oven"", ""Portable fans"", ""Portable heater"", ""Beach essentials"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Lockbox"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Private backyard \u2013 Not fully fenced"", ""Extra pillows and blankets"", ""Essentials"", ""Wine glasses"", ""Toaster"", ""Ethernet connection"", ""Pets allowed"", ""Beach access \u2013 Beachfront"", ""Books and reading material"", ""Hangers"", ""Free washer \u2013 In unit"", ""Fast wifi \u2013 53 Mbps"", ""Waterfront"", ""Mountain view"", ""Private entrance"", ""Outdoor furniture"", ""Babysitter recommendations"", ""Free parking garage on premises \u2013 2 spaces"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Dishwasher"", ""42 inch HDTV with standard cable, premium cable"", ""Microwave"", ""Private patio or balcony"", ""Self check-in"", ""Dishes and silverware"", ""Kitchen"", ""Hot water kettle"", ""Dining table"", ""Room-darkening shades"", ""Bread maker"", ""Ocean view"", ""Clothing storage: wardrobe"", ""Pack \u2019n play/Travel crib"", ""Sea view"", ""Sun loungers"", ""Freezer"", ""Cleaning products"", ""Bed linens"", ""Coffee"", ""Safe"", ""Crib"", ""Barbecue utensils"", ""Laundromat nearby"", ""Iron"", ""Outdoor dining area"", ""Beach view"", ""BBQ grill: wood-burning"", ""Coffee maker: french press"", ""Electric stove"", ""Radiant heating"", ""Hot water"", ""Refrigerator"", ""Cooking basics"", ""Hair dryer"", ""Free street parking""]","ZAR 2,315.00",6,4.81,f,1,0.33
15077,https://www.airbnb.com/rooms/15077,2025-09-28,Relaxed beach living in style,59342,Georg,f,7.0,Ward 4,-33.858356,18.490376,Private room in rental unit,Private room,2,1.0,1.0,2.0,"[""Wifi"", ""Oven"", ""Beach essentials"", ""Body soap"", ""Smoke alarm"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Wine glasses"", ""Toaster"", ""Pets allowed"", ""Indoor fireplace"", ""Books and reading material"", ""Hangers"", ""Baking sheet"", ""Outdoor furniture"", ""Long term stays allowed"", ""Shared pool"", ""Babysitter recommendations"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Shared backyard \u2013 Fully fenced"", ""Self check-in"", ""Dishes and silverware"", ""Kitchen"", ""Hot water kettle"", ""Room-darkening shades"", ""Clothing storage: wardrobe"", ""Outdoor shower"", ""BBQ grill"", ""Washer"", ""Dryer"", ""Heating"", ""Bed linens"", ""Freezer"", ""Safe"", ""Crib"", ""Barbecue utensils"", ""Laundromat nearby"", ""Iron"", ""Hammock"", ""Outdoor dining area"", ""Free parking on premises"", ""Building staff"", ""Shared beach access"", ""Hot water"", ""Stove"", ""Refrigerator"", ""Coffee maker"", ""Shampoo"", ""Blender"", ""Lock on bedroom door"", ""Cooking basics"", ""Hair dryer"", ""Shower gel"", ""Free street parking""]","ZAR 1,118.00",0,5.0,f,6,0.05
15480,https://www.airbnb.com/rooms/15480,2025-09-28,In hip designer district of Cape T.,60443,Jean,f,2.0,Ward 115,-33.92876,18.42247,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Fire extinguisher"", ""Wifi"", ""Oven"", ""Backyard"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Essentials"", ""Elevator"", ""Host greets you"", ""Hangers"", ""Ceiling fan"", ""Baking sheet"", ""Long term stays allowed"", ""Shared pool"", ""High chair"", ""Microwave"", ""Private patio or balcony"", ""Sound system"", ""Exercise equipment"", ""Dishes and silverware"", ""Kitchen"", ""Single level home"", ""Washer"", ""Dryer"", ""Heating"", ""Bed linens"", ""Shared gym"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Stove"", ""Refrigerator"", ""Coffee maker"", ""Shampoo"", ""Hair dryer"", ""Cooking basics"", ""First aid kit""]",ZAR 621.00,0,4.36,f,1,0.12
15704,https://www.airbnb.com/rooms/15704,2025-09-29,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,f,7.0,Ward 54,-33.9659,18.37724,Entire villa,Entire home/apt,15,7.5,7.0,7.0,"[""Fire extinguisher"", ""TV with standard cable"", ""Wifi"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Essentials"", ""Pets allowed"", ""Private pool"", ""Indoor fireplace"", ""Hangers"", ""Outdoor furniture"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""High chair"", ""Self check-in"", ""Kitchen"", ""Air conditioning"", ""BBQ grill"", ""Washer"", ""Dryer"", ""Heating"", ""Crib"", ""Iron"", ""Outdoor dining area"", ""Gym"", ""Free parking on premises"", ""Outdoor kitchen"", ""Building staff"", ""Hot water"", ""Shampoo"", ""Hair dryer"", ""Cooking basics"", ""First aid kit"", ""Free street parking""]","ZAR 51,429.00",8,5.0,f,7,0.03
16259,https://www.airbnb.com/rooms/16259,2025-09-28,"idyllic private Cottage, cleaning weekdays incl.",63255,Cheryl,t,3.0,Ward 59,-33.99612,18.46563,Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,"[""Bathtub"", ""TV with standard cable"", ""Wifi"", ""Oven"", ""Backyard"", ""Beach essentials"", ""Body soap"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Essentials"", ""Wine glasses"", ""Toaster"", ""Indoor fireplace"", ""Books and reading material"", ""Hangers"", ""Baking sheet"", ""Long term stays allowed"", ""Shared pool"", ""Microwave"", ""Private patio or balcony"", ""Self check-in"", ""Dishes and silverware"", ""Kitchen"", ""Paid dryer \u2013 In building"", ""Hot water kettle"", ""Single level home"", ""Room-darkening shades"", ""BBQ grill"", ""Sun loungers"", ""Washer"", ""Heating"", ""Cleaning products"", ""Bed linens"", ""Freezer"", ""Safe"", ""Coffee"", ""Barbecue utensils"", ""Iron"", ""Free parking on premises"", ""Building staff"", ""Hot water"", ""Stove"", ""Refrigerator"", ""Coffee maker"", ""Blender"", ""Hair dryer"", ""Cooking basics"", ""Clothing storage"", ""Shower gel""]","ZAR 1,641.00",6,5.0,f,3,0.12
19271,https://www.airbnb.com/rooms/19271,2025-09-28,Largo House self catering suite,73439,Beverley,t,5.0,Ward 59,-33.97918,18.45549,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,"[""Fire extinguisher"", ""Free washer \u2013 In building"", ""TV with standard cable"", ""Wifi"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Essentials"", ""Private entrance"", ""Hangers"", ""Outdoor furniture"", ""Long term stays allowed"", ""Mountain view"", ""Luggage dropoff allowed"", ""Microwave"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Dishes and silverware"", ""Kitchen"", ""Single level home"", ""Breakfast"", ""BBQ grill"", ""Heating"", ""Bed linens"", ""Iron"", ""Outdoor dining area"", ""Other electric stove"", ""Free parking on premises"", ""Hot water"", ""Refrigerator"", ""Shampoo"", ""Shared outdoor pool - available all year, open 24 hours"", ""Free dryer \u2013 In building"", ""Cooking basics"", ""Hair dryer"", ""Free street parking""]",ZAR 700.00,174,4.96,f,5,1.01
20263,https://www.airbnb.com/rooms/20263,2025-09-28,Villa Honeywood Residence 5 star Service,837661,Daniel,f,2.0,Ward 64,-34.13647,18.41994,Entire villa,Entire home/apt,6,3.0,3.0,3.0,"[""Bathtub"", ""Fire extinguisher"", ""Wifi"", ""Oven"", ""Rice maker"", ""First aid kit"", ""AC - split type ductless system"", ""Bose  sound system with aux"", ""Dedicated workspace"", ""Washer \u2013\u00a0In building"", ""Extra pillows and blankets"", ""Essentials"", ""Exterior security cameras on property"", ""Wine glasses"", ""Pool view"", ""Toaster"", ""Clothing storage"", ""Private entrance"", ""Books and reading material"", ""Hangers"", ""Host greets you"", ""Outdoor furniture"", ""Long term stays allowed"", ""Mountain view"", ""Private outdoor pool - available all year, open 24 hours, heated"", ""Beach access"", ""Garden view"", ""Bay view"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Smoking allowed"", ""Microwave"", ""Private patio or balcony"", ""Dishes and silverware"", ""Courtyard view"", ""Kitchen"", ""Hot water kettle"", ""Dining table"", ""Single level home"", ""Room-darkening shades"", ""Ocean view"", ""Bidet"", ""Sea view"", ""Outdoor shower"", ""Sun loungers"", ""Heating"", ""Cleaning products"", ""Bed linens"", ""Freezer"", ""Safe"", ""Valley view"", ""Iron"", ""42 inch HDTV with Netflix, DVD player, premium cable"", ""Laundromat nearby"", ""Free parking on premises"", ""Board games"", ""Lacanche handmade in Burgundy  stove"", ""Indoor fireplace: wood-burning"", ""Hot water"", ""Refrigerator"", ""Private backyard \u2013 Fully fenced"", ""Coffee maker"", ""Shampoo"", ""Blender"", ""Free dryer \u2013 In building"", ""Cooking basics"", ""Hair dryer"", ""Shower gel""]","ZAR 7,663.00",0,5.0,f,2,0.06
22994,https://www.airbnb.com/rooms/22994,2025-09-28,Heritage Home in Cape Town suburbs,89107,Sandra,f,1.0,Ward 58,-33.95784,18.48782,Entire home,Entire home/apt,6,3.0,3.0,5.0,"[""Bathtub"", ""Fire extinguisher"", ""Wifi"", ""Oven"", ""Smoke alarm"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Essentials"", ""Wine glasses"", ""Toaster"", ""Pool view"", ""Private outdoor pool - available all year, open 24 hours, pool cover, saltwater"", ""Pets allowed"", ""Outdoor playground"", ""Private entrance"", ""Books and reading material"", ""Hangers"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Outdoor furniture"", ""Mountain view"", ""Babysitter recommendations"", ""Garden view"", ""Luggage dropoff allowed"", ""Window guards"", ""Dishwasher"", ""Microwave"", ""Private patio or balcony"", ""Shared backyard \u2013 Fully fenced"", ""Children\u2019s dinnerware"", ""Dishes and silverware"", ""Kitchen"", ""Hot water kettle"", ""Dining table"", ""Mosquito net"", ""Single level home"", ""Coffee maker: french press, pour-over coffee"", ""Fireplace guards"", ""Piano"", ""Cleaning available during stay"", ""Clothing storage: wardrobe"", ""Outdoor shower"", ""BBQ grill"", ""Sun loungers"", ""Heating"", ""Cleaning products"", ""Bed linens"", ""Children\u2019s books and toys"", ""Freezer"", ""Gas stove"", ""Barbecue utensils"", ""Coffee"", ""Laundromat nearby"", ""Iron"", ""Outdoor dining area"", ""Free parking on premises"", ""Board games"", ""Standard liquid soap body soap"", ""Hot water"", ""Indoor fireplace: wood-burning"", ""Refrigerator"", ""Cooking basics"", ""Hair dryer"", ""Shower gel"", ""Free street parking""]","ZAR 1,649.00",28,5.0,f,1,0.1
36347,https://www.airbnb.com/rooms/36347,2025-09-28,Cosy Downtown Loft with Views over Rooftop Deck,156196,Alan,f,3.0,Ward 115,-33.92456,18.42238,Entire loft,Entire home/apt,2,1.0,0.0,2.0,"[""Fire extinguisher"", ""Wifi"", ""Oven"", ""Body soap"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Extra pillows and blankets"", ""Essentials"", ""Wine glasses"", ""Toaster"", ""Elevator"", ""Clothing storage: closet and dresser"", ""Private entrance"", ""Books and reading material"", ""Hangers"", ""Host greets you"", ""Outdoor furniture"", ""Long term stays allowed"", ""Mountain view"", ""Shared pool"", ""Luggage dropoff allowed"", ""Smoking allowed"", ""Private patio or balcony"", ""Sound system"", ""Dishes and silverware"", ""Kitchen"", ""Hot water kettle"", ""Dining table"", ""Room-darkening shades"", ""City skyline view"", ""Cleaning available during stay"", ""Air conditioning"", ""Cleaning products"", ""Bed linens"", ""Laundromat nearby"", ""Iron"", ""Outdoor dining area"", ""Gym"", ""TV with Netflix"", ""Hot water"", ""Stove"", ""Refrigerator"", ""Coffee maker"", ""Cooking basics"", ""Hair dryer"", ""Shower gel""]","ZAR 1,022.00",72,4.78,f,1,2.09
36483,https://www.airbnb.com/rooms/36483,2025-09-28,"Stylish Studio, Pool, Parking, Wifi, kitchenette",156910,Dave,t,8.0,Ward 107,-33.82157,18.48436,Private room in home,Private room,2,1.0,1.0,3.0,"[""Fire extinguisher"", ""TV with standard cable"", ""Portable fans"", ""Wifi"", ""Beach essentials"", ""First aid kit"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Free driveway parking on premises \u2013 1 space"", ""Extra pillows and blankets"", ""Essentials"", ""Other induction stove"", ""Wine glasses"", ""Toaster"", ""Beach access \u2013 Beachfront"", ""Books and reading material"", ""Hangers"", ""Ceiling fan"", ""Baking sheet"", ""Private entrance"", ""Outdoor furniture"", ""Private outdoor kitchen"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Garden view"", ""Fire pit"", ""Microwave"", ""Private patio or balcony"", ""Dishes and silverware"", ""Host greets you"", ""Kitchen"", ""Hot water kettle"", ""Dining table"", ""Mosquito net"", ""Single level home"", ""Lux body soap"", ""Coffee maker: Nespresso"", ""Clothing storage: wardrobe"", ""Sun loungers"", ""Washer"", ""Dryer"", ""Cleaning products"", ""Bed linens"", ""Heating"", ""Safe"", ""Coffee"", ""Barbecue utensils"", ""Private BBQ grill: charcoal, gas, wood-burning"", ""Iron"", ""Hammock"", ""Outdoor dining area"", ""Hot water"", ""Refrigerator"", ""Mini fridge"", ""Private backyard \u2013 Fully fenced"", ""Shampoo"", ""Blender"", ""Cooking basics"", ""Hair dryer"", ""Private outdoor pool - available all year, open 24 hours, pool toys"", ""Shower gel"", ""Free street parking""]",ZAR 950.00,112,4.67,f,8,0.23
