id,listing_url,last_scraped,name,host_id,host_name,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,estimated_occupancy_l365d,review_scores_rating,license,calculated_host_listings_count,reviews_per_month
5269,https://www.airbnb.com/rooms/5269,2025-09-16,Upcountry Hospitality in the 'Auwai Suite,7620,Lea & Pat,t,3.0,South Kohala,20.0274,-155.702,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Hot water"", ""Outdoor playground"", ""Self check-in"", ""Hangers"", ""Washer"", ""Fire extinguisher"", ""Garden view"", ""Exercise equipment"", ""Building staff"", ""TV with standard cable"", ""Wifi"", ""Outdoor dining area"", ""Bed linens"", ""Children\u2019s bikes"", ""Luggage dropoff allowed"", ""Iron"", ""Coffee maker"", ""Shared backyard \u2013 Not fully fenced"", ""Oven"", ""Free dryer \u2013 In building"", ""Refrigerator"", ""Stove"", ""Free street parking"", ""Cooking basics"", ""Pack \u2019n play/Travel crib"", ""Outdoor furniture"", ""Beach essentials"", ""BBQ grill"", ""Babysitter recommendations"", ""Essentials"", ""Free parking on premises"", ""Kitchen"", ""Single level home"", ""Dishes and silverware""]",USD 136.00,42,4.8,t,3,0.26
5387,https://www.airbnb.com/rooms/5387,2025-09-16,Hale Koa Studio & 1 Bedroom Units!!,7878,Edward,f,2.0,South Kona,19.43081,-155.88069,Entire rental unit,Entire home/apt,2,1.0,0.0,2.0,"[""Smoke alarm"", ""Courtyard view"", ""Private backyard \u2013 Not fully fenced"", ""Extra pillows and blankets"", ""Hot water"", ""Dining table"", ""Self check-in"", ""Hangers"", ""Garden view"", ""Blender"", ""Wifi"", ""Keypad"", ""Bed linens"", ""Hot water kettle"", ""HDTV with Roku, standard cable"", ""Iron"", ""Coffee maker"", ""Oven"", ""Private patio or balcony"", ""Ocean view"", ""Refrigerator"", ""Wine glasses"", ""Stove"", ""Toaster"", ""Cooking basics"", ""Microwave"", ""Dedicated workspace"", ""Private entrance"", ""Hair dryer"", ""Essentials"", ""Free parking on premises"", ""Kitchen"", ""Dishes and silverware"", ""Mountain view""]",USD 122.00,110,4.67,t,2,1.24
7896,https://www.airbnb.com/rooms/7896,2025-09-17,"Maui Sunset Condo Beachfront Resort, Kihei/Wailea",21844,Caroline,f,1.0,Kihei-Makena,20.75684,-156.45631,Entire condo,Entire home/apt,4,2.0,1.0,2.0,"[""Ceiling fan"", ""Smoke alarm"", ""Resort access"", ""Long term stays allowed"", ""Private gym in building"", ""Private backyard \u2013 Not fully fenced"", ""Barbecue utensils"", ""Extra pillows and blankets"", ""Hot water"", ""Resort view"", ""Free washer \u2013 In unit"", ""Dining table"", ""Self check-in"", ""Hangers"", ""Books and reading material"", ""Room-darkening shades"", ""Garden view"", ""Bathtub"", ""Exercise equipment"", ""Fire extinguisher"", ""Blender"", ""Building staff"", ""Wifi"", ""Sauna"", ""Outdoor dining area"", ""Bed linens"", ""Clothing storage"", ""Body soap"", ""Hot water kettle"", ""Iron"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Elevator"", ""Ethernet connection"", ""Beach access"", ""Oven"", ""Shared hot tub"", ""Private patio or balcony"", ""Dishwasher"", ""Refrigerator"", ""Shared pool"", ""Baking sheet"", ""Wine glasses"", ""Stove"", ""Toaster"", ""Cooking basics"", ""Microwave"", ""Dedicated workspace"", ""Waterfront"", ""Outdoor furniture"", ""Private entrance"", ""Beach essentials"", ""Hair dryer"", ""BBQ grill"", ""50 inch HDTV with standard cable"", ""Freezer"", ""Shampoo"", ""Essentials"", ""Free parking on premises"", ""Kitchen"", ""Cleaning products"", ""Single level home"", ""Dishes and silverware"", ""Window AC unit"", ""Free dryer \u2013 In unit"", ""Rice maker""]",USD 150.00,112,4.71,t,1,0.53
13238,https://www.airbnb.com/rooms/13238,2025-09-17,Studio On Princeville Golf Course / Paniolo Condo,51647,Annie/Greg,t,3.0,North Shore Kauai,22.21844,-159.4709,Entire condo,Entire home/apt,2,1.0,0.0,1.0,"[""Smoke alarm"", ""Long term stays allowed"", ""Extra pillows and blankets"", ""Pets allowed"", ""Hot water"", ""Self check-in"", ""Conditioner"", ""Hangers"", ""Wifi"", ""Body soap"", ""Iron"", ""Shower gel"", ""Coffee maker"", ""Refrigerator"", ""Stove"", ""Cooking basics"", ""TV"", ""Microwave"", ""Beach essentials"", ""Private entrance"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Lockbox"", ""Kitchen"", ""Free parking garage on premises"", ""Cleaning products"", ""Dishes and silverware"", ""Shared pool""]",USD 149.00,78,4.5,t,2,1.43
13528,https://www.airbnb.com/rooms/13528,2025-09-17,2BR Pacific Shores by the Beach,52969,Lisa,f,1.0,Kihei-Makena,20.72413,-156.44767,Entire condo,Entire home/apt,5,2.0,2.0,2.0,"[""Smoke alarm"", ""Extra pillows and blankets"", ""Hot water"", ""Self check-in"", ""Hangers"", ""Washer"", ""TV with standard cable"", ""Wifi"", ""Luggage dropoff allowed"", ""Bed linens"", ""Iron"", ""Elevator"", ""Coffee maker"", ""Oven"", ""Shared hot tub"", ""Private patio or balcony"", ""Dishwasher"", ""Refrigerator"", ""Stove"", ""Cooking basics"", ""Children\u2019s books and toys"", ""High chair"", ""Pack \u2019n play/Travel crib"", ""Dryer"", ""Microwave"", ""Beach essentials"", ""Hair dryer"", ""BBQ grill"", ""Backyard"", ""Kekai conditioner"", ""Lockbox"", ""Kekai shampoo"", ""Essentials"", ""Free parking on premises"", ""Kekai body soap"", ""Kitchen"", ""Air conditioning"", ""Dishes and silverware"", ""Shared pool""]",USD 275.00,0,4.75,t,1,1.41
13688,https://www.airbnb.com/rooms/13688,2025-09-16,Oceanfront Bali House w/ Hot tub @ Kehena Beach,53657,Janet Lynn,t,6.0,Puna,19.39402,-154.9306,Entire home,Entire home/apt,9,2.0,4.0,6.0,"[""Smoke alarm"", ""Sun loungers"", ""Long term stays allowed"", ""First aid kit"", ""Self check-in"", ""Sound system with Bluetooth and aux"", ""Books and reading material"", ""Room-darkening shades"", ""Bathtub"", ""Fire extinguisher"", ""Bed linens"", ""Pocket wifi"", ""Hot water kettle"", ""Iron"", ""Trail Kit conditioner"", ""Laundromat nearby"", ""52 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix, Roku"", ""Coffee"", ""Mosquito net"", ""Housekeeping - available at extra cost"", ""Kitchen"", ""Dishes and silverware"", ""Rice maker"", ""Portable fans"", ""Theme room"", ""Stainless steel oven"", ""Paid parking garage on premises \u2013 2 spaces"", ""Safe"", ""Private patio or balcony"", ""Wine glasses"", ""Toaster"", ""BBQ grill: charcoal"", ""Beach essentials"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Kenmore dual fuel stainless steel electric stove"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old"", ""Ceiling fan"", ""Clothing storage: wardrobe and dresser"", ""Extra pillows and blankets"", ""Hot water"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Hangers"", ""Board games"", ""Outdoor dining area"", ""Carbon monoxide alarm"", ""Shower gel"", ""Elevator"", ""Free washer \u2013 In building"", ""Free dryer \u2013 In building"", ""Ocean view"", ""Private hot tub - available all year, open 24 hours"", ""Microwave"", ""Dedicated workspace"", ""Private entrance"", ""Lockbox"", ""Coffee maker: drip coffee maker, french press, Keurig coffee machine"", ""Drying rack for clothing"", ""Free carport on premises \u2013 2 spaces"", ""Hammock"", ""Exterior security cameras on property"", ""Bay view"", ""Barbecue utensils"", ""Dining table"", ""Blender"", ""Wifi"", ""Body soap"", ""Shared beach access \u2013 Beachfront"", ""Dishwasher"", ""Baking sheet"", ""Cooking basics"", ""Outdoor furniture"", ""Waterfront"", ""Sea view"", ""Freezer"", ""Private backyard \u2013 Fully fenced"", ""Crib - always at the listing"", ""Kenmore refrigerator"", ""Cleaning products""]",USD 279.00,54,4.85,t,4,0.99
13799,https://www.airbnb.com/rooms/13799,2025-09-17,Luana Kai Oceanfront Condo by Owner,54237,Donald,t,2.0,Kihei-Makena,20.75723,-156.45704,Entire condo,Entire home/apt,3,1.0,1.0,1.0,"[""Smoke alarm"", ""Hot water"", ""Self check-in"", ""Washer"", ""Fire extinguisher"", ""Garden view"", ""TV with standard cable"", ""Wifi"", ""Keypad"", ""Iron"", ""Coffee maker"", ""Beach access \u2013 Beachfront"", ""Shared backyard \u2013 Not fully fenced"", ""Oven"", ""Shared hot tub"", ""Private patio or balcony"", ""Dishwasher"", ""Ocean view"", ""Refrigerator"", ""Stove"", ""Cooking basics"", ""Microwave"", ""Dryer"", ""Beach essentials"", ""Hair dryer"", ""BBQ grill"", ""Sea view"", ""Essentials"", ""Free parking on premises"", ""Pool view"", ""Kitchen"", ""Dishes and silverware"", ""Shared pool""]",USD 124.00,60,4.76,t,1,1.37
13876,https://www.airbnb.com/rooms/13876,2025-09-16,Very Close to Alii Drive and Magic Sands Beach,54543,Mary,t,2.0,North Kona,19.59108543395996,-155.9705810546875,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Smoke alarm"", ""Paid washer \u2013 In building"", ""Paid dryer \u2013 In building"", ""Hot water"", ""Hangers"", ""Garden view"", ""TV with standard cable"", ""Wifi"", ""Bed linens"", ""Patio or balcony"", ""Body soap"", ""Clothing storage: closet and dresser"", ""Host greets you"", ""Free street parking"", ""Cooking basics"", ""Outdoor furniture"", ""Hair dryer"", ""BBQ grill"", ""Backyard"", ""Shampoo"", ""Essentials"", ""Free parking on premises"", ""Kitchen"", ""Dishes and silverware""]",USD 165.00,0,4.53,t,2,0.73
13899,https://www.airbnb.com/rooms/13899,2025-09-17,Ocean Front View Condo Kaanapali Beach Hilton Club,54660,Dennis,t,32.0,Lahaina,20.94837,-156.69075,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Smoke alarm"", ""Game console: Nintendo Wii U and Xbox 360"", ""Extra pillows and blankets"", ""First aid kit"", ""Ping pong table"", ""Hot water"", ""Dining table"", ""Self check-in"", ""Hangers"", ""Washer"", ""Board games"", ""Portable fans"", ""Room-darkening shades"", ""Bathtub"", ""Fire extinguisher"", ""Building staff"", ""TV with standard cable"", ""Wifi"", ""Pool"", ""Outdoor dining area"", ""Bed linens"", ""Patio or balcony"", ""Body soap"", ""Hot water kettle"", ""Iron"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Elevator"", ""Ethernet connection"", ""Beach access \u2013 Beachfront"", ""Luggage dropoff allowed"", ""Heating"", ""Safe"", ""Free dryer \u2013 In building"", ""Dishwasher"", ""Refrigerator"", ""Wine glasses"", ""Toaster"", ""Shared backyard"", ""Cooking basics"", ""Free street parking"", ""Gym"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s books and toys"", ""High chair"", ""Dedicated workspace"", ""Microwave"", ""Waterfront"", ""Hair dryer"", ""Outdoor furniture"", ""BBQ grill"", ""Hot tub"", ""Freezer"", ""Shampoo"", ""Essentials"", ""Free parking on premises"", ""Kitchen"", ""Air conditioning"", ""Single level home"", ""Dishes and silverware"", ""Rice maker""]",USD 311.00,0,4.73,t,13,0.15
104447,https://www.airbnb.com/rooms/104447,2025-09-17,Waikiki Gem at Century Center,71120,Michael,t,5.0,Primary Urban Center,21.29021,-157.83665,Entire condo,Entire home/apt,2,1.0,1.0,2.0,"[""Smoke alarm"", ""Paid washer \u2013 In building"", ""Shared outdoor pool - available all year"", ""Long term stays allowed"", ""Paid dryer \u2013 In building"", ""Extra pillows and blankets"", ""First aid kit"", ""Shared sauna"", ""Hot water"", ""Shared beach access"", ""Dining table"", ""32 inch HDTV with standard cable"", ""Self check-in"", ""Conditioner"", ""Hangers"", ""Portable fans"", ""Room-darkening shades"", ""Bathtub"", ""Exercise equipment"", ""Fire extinguisher"", ""Blender"", ""Shared gym in building"", ""Building staff"", ""Central air conditioning"", ""Bed linens"", ""Outdoor dining area"", ""Body soap"", ""Hot water kettle"", ""Iron"", ""Carbon monoxide alarm"", ""Elevator"", ""Coffee maker"", ""Ethernet connection"", ""Shared hot tub"", ""Clothing storage: closet and dresser"", ""Coffee"", ""Ocean view"", ""Refrigerator"", ""Wine glasses"", ""Toaster"", ""Free street parking"", ""Cooking basics"", ""Microwave"", ""Dedicated workspace"", ""Waterfront"", ""Outdoor furniture"", ""Beach essentials"", ""Paid parking off premises"", ""Hair dryer"", ""BBQ grill"", ""Electric stove"", ""Paid parking on premises"", ""Freezer"", ""Shampoo"", ""Essentials"", ""Kitchen"", ""Cleaning products"", ""Fast wifi \u2013 190 Mbps"", ""Dishes and silverware"", ""Rice maker""]",USD 125.00,120,4.83,t,4,0.2
