id,listing_url,last_scraped,name,host_id,host_name,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,estimated_occupancy_l365d,review_scores_rating,license,calculated_host_listings_count,reviews_per_month
87873,https://www.airbnb.com/rooms/87873,2025-09-21,Oporto Apartment Triplex,480980,Paula,t,4.0,Bonfim,41.15607,-8.60437,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,"[""Patio or balcony"", ""Stove"", ""Elevator"", ""Heating"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Fire extinguisher"", ""TV with standard cable"", ""Oven"", ""Paid parking off premises"", ""Dryer"", ""Washer"", ""Smoking allowed"", ""Kitchen"", ""Cleaning available during stay"", ""Bed linens"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Microwave"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Free street parking"", ""Coffee maker"", ""Hangers"", ""Iron""]",EUR 108.00,102,4.8,t,4,1.64
94701,https://www.airbnb.com/rooms/94701,2025-09-21,Big TERRACE APARTMENT / city center,505473,Gundega,t,1.0,Bonfim,41.14675,-8.60186,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"[""Park view"", ""Patio or balcony"", ""Stove"", ""Body soap"", ""Elevator"", ""Luggage dropoff allowed"", ""Heating"", ""Refrigerator"", ""Cooking basics"", ""Clothing storage: closet"", ""Books and reading material"", ""Bathtub"", ""Hot water"", ""Outdoor furniture"", ""Sun loungers"", ""Host greets you"", ""TV with standard cable"", ""Long term stays allowed"", ""First aid kit"", ""Wine glasses"", ""Washer"", ""Kitchen"", ""Freezer"", ""Bed linens"", ""Extra pillows and blankets"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Coffee"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""Hot water kettle"", ""Laundromat nearby"", ""Dishes and silverware"", ""High chair"", ""Paid parking on premises"", ""Central air conditioning"", ""Cleaning products"", ""Coffee maker"", ""Room-darkening shades"", ""Drying rack for clothing"", ""City skyline view"", ""Hangers"", ""Shower gel"", ""Toaster"", ""Iron""]",EUR 73.00,72,4.76,t,1,1.8
105347,https://www.airbnb.com/rooms/105347,2025-09-21,Minha casinha / My little house,544104,Manuel,t,1.0,Oliveira do Douro,41.12944,-8.58565,Tiny home,Entire home/apt,4,1.0,2.0,3.0,"[""Luggage dropoff allowed"", ""Refrigerator"", ""Cooking basics"", ""Clothing storage: closet"", ""Beach access"", ""Single level home"", ""Private patio or balcony"", ""Bathtub"", ""Hot water"", ""Outdoor furniture"", ""Sun loungers"", ""Free washer \u2013 In unit"", ""Teka gas stove"", ""Keypad"", ""Dishwasher"", ""Fire extinguisher"", ""Dining table"", ""Long term stays allowed"", ""32 inch HDTV with standard cable"", ""First aid kit"", ""Wine glasses"", ""Board games"", ""Kitchen"", ""Private entrance"", ""Freezer"", ""Bed linens"", ""Extra pillows and blankets"", ""Self check-in"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Ethernet connection"", ""Garden view"", ""Microwave"", ""Fast wifi \u2013 201 Mbps"", ""Smoke alarm"", ""Shared backyard \u2013 Fully fenced"", ""Pack \u2019n play/Travel crib"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Dishes and silverware"", ""High chair"", ""Outdoor dining area"", ""Free street parking"", ""Coffee maker"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Hangers"", ""Shower gel"", ""Toaster"", ""Iron""]",EUR 77.00,120,4.88,t,1,1.17
108153,https://www.airbnb.com/rooms/108153,2025-09-21,Rooms-Piscina-Praia,559704,Armando,t,2.0,Anta e Guetim,40.99903,-8.61693,Private room in guesthouse,Private room,2,1.0,4.0,3.0,"[""Trash compactor"", ""Stove"", ""Children\u2019s books and toys"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Cooking basics"", ""Private patio or balcony"", ""Paid dryer"", ""Backyard"", ""Hot water"", ""Host greets you"", ""Fire extinguisher"", ""TV with standard cable"", ""Long term stays allowed"", ""Wine glasses"", ""Kitchen"", ""Baby bath"", ""Freezer"", ""Bed linens"", ""Extra pillows and blankets"", ""Wifi"", ""Private entrance"", ""Hair dryer"", ""Shared pool"", ""Essentials"", ""Coffee"", ""Microwave"", ""Air conditioning"", ""Hot water kettle"", ""Barbecue utensils"", ""Dishes and silverware"", ""High chair"", ""Free street parking"", ""Coffee maker"", ""BBQ grill"", ""Room-darkening shades"", ""Clothing storage"", ""Hangers"", ""Toaster"", ""Iron""]",EUR 66.00,18,4.83,t,2,0.16
122362,https://www.airbnb.com/rooms/122362,2025-09-21,Private house in Oporto - Portugal,613350,Olga,f,1.0,Paranhos,41.17576,-8.6232,Entire home,Entire home/apt,9,3.0,4.0,6.0,"[""Wifi"", ""Hot water"", ""Crib"", ""Hair dryer"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""Host greets you"", ""Coffee maker"", ""TV with standard cable"", ""Microwave"", ""Long term stays allowed"", ""Indoor fireplace"", ""Hangers"", ""Washer"", ""Iron"", ""Kitchen""]",EUR 120.00,12,4.66,t,1,0.71
127208,https://www.airbnb.com/rooms/127208,2025-09-21,B & B  Room Yoga Garden's Place,630252,Aurora,t,1.0,Campanhã,41.1546,-8.58985,Private room in home,Private room,2,1.5,1.0,4.0,"[""Private backyard \u2013 Fully fenced"", ""Trash compactor"", ""Private gym in building"", ""Stove"", ""Refrigerator"", ""Cooking basics"", ""Private patio or balcony"", ""Hot water"", ""Outdoor furniture"", ""Sun loungers"", ""Dishwasher"", ""Fire extinguisher"", ""Long term stays allowed"", ""First aid kit"", ""Wine glasses"", ""Oven"", ""Washer"", ""Kitchen"", ""Private entrance"", ""Bed linens"", ""Extra pillows and blankets"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""TV"", ""Microwave"", ""Dishes and silverware"", ""Outdoor dining area"", ""Free street parking"", ""Coffee maker"", ""Indoor fireplace"", ""Hangers"", ""Luggage dropoff allowed"", ""Lock on bedroom door""]",EUR 39.00,255,4.89,t,1,3.58
134570,https://www.airbnb.com/rooms/134570,2025-09-21,Luxury Beachfront Penthouse | Pools & Ocean views,660293,Natacha,f,1.0,Madalena,41.10431,-8.66159,Entire condo,Entire home/apt,8,3.5,3.0,5.0,"[""Dedicated workspace"", ""Beach essentials"", ""Cooking basics"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Baking sheet"", ""Free dryer \u2013 In unit"", ""High chair - available upon request"", ""Table corner guards"", ""Shared outdoor pool - available all year, open specific hours, lap pool, olympic-sized"", ""70 inch HDTV with Netflix, standard cable"", ""Crib - available upon request"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Blender"", ""Cleaning products"", ""Drying rack for clothing"", ""Outlet covers"", ""Hangers"", ""Toaster"", ""Luggage dropoff allowed"", ""Private backyard \u2013 Fully fenced"", ""Baby monitor - available upon request"", ""Baby safety gates"", ""Hammock"", ""Lux Beauty Soap body soap"", ""Books and reading material"", ""Hot water"", ""Safe"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Sun loungers"", ""Deliplus Liss Complex conditioner"", ""Radiant heating"", ""Board games"", ""Freezer"", ""Coffee"", ""Microwave"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Bosch refrigerator"", ""Laundromat nearby"", ""Dishes and silverware"", ""Sea view"", ""Outdoor dining area"", ""Free street parking"", ""Outdoor shower"", ""Deliplus Natural - 97% Natural  shampoo"", ""Shower gel"", ""Bidet"", ""Fast wifi \u2013 729 Mbps"", ""Trash compactor"", ""Beach view"", ""Elevator"", ""Bosch stainless steel oven"", ""Bathtub"", ""Ocean view"", ""Central heating"", ""Free resort access"", ""First aid kit"", ""Kitchen"", ""Bed linens"", ""Extra pillows and blankets"", ""Shared beach access"", ""Pack \u2019n play/Travel crib - available upon request"", ""Smoke alarm"", ""Exercise equipment"", ""Wine glasses"", ""Coffee maker: drip coffee maker, french press, Nespresso"", ""Iron"", ""Baby bath - available upon request"", ""Free residential garage on premises \u2013 2 spaces"", ""Courtyard view"", ""Housekeeping available 3 hours a day, 2 days a week"", ""Changing table - available upon request"", ""Private patio or balcony"", ""Children\u2019s dinnerware"", ""Host greets you"", ""Dishwasher"", ""AEG electric stove"", ""Bikes"", ""Pool view"", ""Private entrance"", ""Hair dryer"", ""Essentials"", ""Ethernet connection"", ""Carbon monoxide alarm"", ""Waterfront"", ""Room-darkening shades"", ""Dining table"", ""Children\u2019s bikes""]",EUR 353.00,6,4.97,t,1,0.65
139425,https://www.airbnb.com/rooms/139425,2025-09-21,"Cozy flat- air cond, rooftop terrace, free parking",680010,Liana,t,7.0,Bonfim,41.14622,-8.59423,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,"[""Stove"", ""Courtyard view"", ""Elevator"", ""Free residential garage on premises \u2013 1 space"", ""Refrigerator"", ""Cooking basics"", ""Clothing storage: closet"", ""Private patio or balcony"", ""Hot water"", ""Outdoor furniture"", ""Sun loungers"", ""Dishwasher"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Dining table"", ""TV with standard cable"", ""First aid kit"", ""Oven"", ""Washer"", ""Kitchen"", ""Freezer"", ""Bed linens"", ""Wifi"", ""Self check-in"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Crib - available upon request"", ""Coffee maker: espresso machine"", ""Microwave"", ""Air conditioning"", ""Hot water kettle"", ""Laundromat nearby"", ""Barbecue utensils"", ""Dishes and silverware"", ""High chair"", ""Outdoor dining area"", ""Lockbox"", ""BBQ grill"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Hangers"", ""Shower gel"", ""Iron""]",EUR 86.00,192,4.5,t,7,1.72
141255,https://www.airbnb.com/rooms/141255,2025-09-21,Yellow House -  Casa CF,663708,Gabriela,f,1.0,São Mamede de Infesta e Senhora da Hora,41.19266,-8.6615,Private room in rental unit,Private room,4,2.0,2.0,2.0,"[""Private backyard \u2013 Fully fenced"", ""Record player"", ""Stove"", ""Dedicated workspace"", ""Body soap"", ""Heating"", ""Refrigerator"", ""Beach essentials"", ""Cooking basics"", ""Clothing storage: closet"", ""Private patio or balcony"", ""Books and reading material"", ""Bathtub"", ""Coffee maker: espresso machine, Nespresso"", ""Private living room"", ""Hot water"", ""Safe"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Host greets you"", ""Free dryer"", ""Dishwasher"", ""TV with standard cable, DVD player"", ""Fire extinguisher"", ""Dining table"", ""Long term stays allowed"", ""Children\u2019s books and toys for ages 5-10 years old and 10+ years old"", ""Baking sheet"", ""First aid kit"", ""Wine glasses"", ""Free parking on premises"", ""Cleaning available during stay"", ""Board games"", ""Kitchen"", ""Private entrance"", ""Freezer"", ""Bed linens"", ""Extra pillows and blankets"", ""Wifi"", ""Shared beach access"", ""Hair dryer"", ""Essentials"", ""Coffee"", ""Mini fridge"", ""Ethernet connection"", ""Microwave"", ""Stainless steel oven"", ""Pack \u2019n play/Travel crib"", ""Hot water kettle"", ""Laundromat nearby"", ""Crib"", ""Dishes and silverware"", ""Outdoor dining area"", ""Central air conditioning"", ""Free street parking"", ""Cleaning products"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Sound system"", ""Hangers"", ""Shower gel"", ""Toaster"", ""Bidet"", ""Iron""]",EUR 147.00,0,5.0,t,1,0.03
155127,https://www.airbnb.com/rooms/155127,2025-09-21,Apartment Douro river 5 km to Porto,745984,André,f,3.0,"Gondomar (São Cosme), Valbom e Jovim",41.1238,-8.54264,Entire condo,Entire home/apt,8,2.5,3.0,5.0,"[""Wifi"", ""Hair dryer"", ""Shampoo"", ""Essentials"", ""Free parking on premises"", ""Elevator"", ""TV with standard cable"", ""Heating"", ""Pets allowed"", ""Indoor fireplace"", ""Hangers"", ""Washer"", ""Iron"", ""Kitchen""]",EUR 95.00,120,4.67,f,3,1.06
