id,listing_url,last_scraped,name,host_id,host_name,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,estimated_occupancy_l365d,review_scores_rating,license,calculated_host_listings_count,reviews_per_month
197677,https://www.airbnb.com/rooms/197677,2025-09-30,Oshiage Holiday Apartment,964081,Yoshimi & Marek,t,1.0,Sumida Ku,35.71707,139.82608,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Hangers"", ""Hot water"", ""Shampoo"", ""Iron"", ""Fire extinguisher"", ""Dryer"", ""Essentials"", ""Dishes and silverware"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Heating"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Lockbox"", ""TV""]","JPY 12,600.00",60,4.78,t,1,1.11
776070,https://www.airbnb.com/rooms/776070,2025-09-29,Kero-kero room 1F,801494,Kei,t,1.0,Kita Ku,35.73844,139.76917,Private room in home,Private room,1,1.0,1.0,1.0,"[""Extra pillows and blankets"", ""Ethernet connection"", ""Hangers"", ""Hot water"", ""Shampoo"", ""Iron"", ""Essentials"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""TV with standard cable"", ""Hair dryer"", ""Wifi"", ""First aid kit"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Piano"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Bed linens"", ""Cleaning products""]","JPY 10,459.00",84,4.98,t,1,1.74
905944,https://www.airbnb.com/rooms/905944,2025-09-29,4F Spacious Apartment in Shinjuku / Shibuya Tokyo,4847803,Best Stay In Tokyo!,t,9.0,Shibuya Ku,35.67878,139.67847,Entire rental unit,Entire home/apt,6,1.5,2.0,4.0,"[""Extra pillows and blankets"", ""Ethernet connection"", ""Coffee maker"", ""Hangers"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Dining table"", ""Hot water"", ""Shampoo"", ""City skyline view"", ""Iron"", ""Japanese local brand body soap"", ""Fire extinguisher"", ""Private patio or balcony"", ""Essentials"", ""Portable fans"", ""Laundromat nearby"", ""Paid parking off premises"", ""Babysitter recommendations"", ""Dishes and silverware"", ""Kitchen"", ""Self check-in"", ""Japan available brand conditioner"", ""Toaster"", ""Hair dryer"", ""Wifi"", ""AC - split type ductless system"", ""Radiant heating"", ""First aid kit"", ""Smoke alarm"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Refrigerator"", ""Cooking basics"", ""Lockbox"", ""Rinnai stainless steel gas stove"", ""TV"", ""Long term stays allowed""]","JPY 33,671.00",255,4.82,t,9,1.85
1016831,https://www.airbnb.com/rooms/1016831,2025-09-29,5 mins Shibuya Cat modern sunny  Shimokita,5596383,Wakana,t,1.0,Setagaya Ku,35.658,139.67134,Private room in home,Private room,2,1.0,1.0,4.0,"[""Extra pillows and blankets"", ""Ethernet connection"", ""Fast wifi \u2013 52 Mbps"", ""Coffee maker"", ""Blender"", ""Rice maker"", ""Hangers"", ""Drying rack for clothing"", ""Clothing storage: walk-in closet"", ""Hot water"", ""Dishwasher"", ""Iron"", ""\u30a4\u30bd\u30c3\u30d7 conditioner"", ""Fire extinguisher"", ""Bidet"", ""Essentials"", ""Bread maker"", ""\u30a4\u30bd\u30c3\u30d7 body soap"", ""Portable fans"", ""Freezer"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Paid parking lot off premises"", ""Toaster"", ""Hair dryer"", ""Wine glasses"", ""Shower gel"", ""AC - split type ductless system"", ""Bikes"", ""Lock on bedroom door"", ""Bathtub"", ""\u30d8\u30eb\u30b7\u30aa oven"", ""Host greets you"", ""Baking sheet"", ""Shared patio or balcony"", ""First aid kit"", ""Stainless steel gas stove"", ""Heating"", ""24 inch TV with standard cable"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Cooking basics"", ""Dining table"", ""\u30a4\u30bd\u30c3\u30d7 shampoo"", ""Long term stays allowed""]","JPY 24,143.00",96,4.95,t,1,1.87
1196177,https://www.airbnb.com/rooms/1196177,2025-09-29,Homestay at Host's House -  Senju-Ohashi Station,5686404,Yukiko,t,1.0,Adachi Ku,35.74363,139.79852,Private room in home,Private room,3,1.5,1.0,8.0,"[""Extra pillows and blankets"", ""Hangers"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Fast wifi \u2013 172 Mbps"", ""Children\u2019s dinnerware"", ""Hot water"", ""Dishwasher"", ""Shampoo"", ""Iron"", ""Private living room"", ""Fire extinguisher"", ""Bidet"", ""Body soap"", ""Essentials"", ""Freezer"", ""Coffee"", ""Conditioner"", ""Dedicated workspace"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Self check-in"", ""Children\u2019s books and toys"", ""Hair dryer"", ""AC - split type ductless system"", ""Lock on bedroom door"", ""Bathtub"", ""Host greets you"", ""First aid kit"", ""Heating"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Lockbox"", ""Dining table"", ""TV"", ""Long term stays allowed""]","JPY 8,795.00",150,4.81,t,1,1.01
1263000,https://www.airbnb.com/rooms/1263000,2025-09-29,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,t,1.0,Setagaya Ku,35.60742,139.67616,Private room in home,Private room,1,1.0,1.0,1.0,"[""Dryer"", ""First aid kit"", ""Hair dryer"", ""Heating"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Air conditioning"", ""Hot water"", ""Carbon monoxide alarm"", ""Shampoo"", ""Washer"", ""TV with standard cable"", ""Host greets you"", ""Kitchen""]","JPY 9,200.00",132,4.81,t,1,1.46
1268465,https://www.airbnb.com/rooms/1268465,2025-09-29,No share Private APT 8 min from Ebisu station,1913570,Sugi,f,1.0,Meguro Ku,35.63953,139.7097,Private room in rental unit,Private room,2,0.5,0.0,1.0,"[""Hangers"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Hot water"", ""Clothing storage"", ""Shampoo"", ""Body soap"", ""Essentials"", ""Freezer"", ""Dedicated workspace"", ""Dishes and silverware"", ""Self check-in"", ""Hair dryer"", ""Central air conditioning"", ""Wifi"", ""Bathtub"", ""Kitchenette"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Hot water kettle"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Lockbox"", ""Long term stays allowed""]","JPY 11,699.00",144,4.75,t,1,0.27
1298200,https://www.airbnb.com/rooms/1298200,2025-09-29,"2 Bed Room + 2 Toilets, drop off luggage from 9am",7740848,K Family,t,8.0,Katsushika Ku,35.73987,139.85176,Entire home,Entire home/apt,3,2.0,2.0,4.0,"[""Extra pillows and blankets"", ""Coffee maker"", ""Safe"", ""Rice maker"", ""Paid dryer \u2013 In building"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Shampoo"", ""Iron"", ""Fire extinguisher"", ""Stove"", ""Lion body soap"", ""Lion conditioner"", ""Essentials"", ""Paid parking off premises"", ""Freezer"", ""Coffee"", ""Luggage dropoff allowed"", ""Dishes and silverware"", ""Kitchen"", ""Mini fridge"", ""Toaster"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Host greets you"", ""Free washer \u2013 In building"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Hot water kettle"", ""Air conditioning"", ""Microwave"", ""Exterior or entryway security camera present"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Refrigerator"", ""Cooking basics"", ""Dining table"", ""TV"", ""Long term stays allowed""]","JPY 18,575.00",96,4.94,t,6,2.83
1306664,https://www.airbnb.com/rooms/1306664,2025-09-29,3rd floor penthouse @ heart of TKO,7103955,Masaharu,f,16.0,Shinjuku Ku,35.70263,139.74147,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Extra pillows and blankets"", ""Coffee maker"", ""Safe"", ""Keypad"", ""Hangers"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Outdoor furniture"", ""Hot water"", ""Shampoo"", ""Washer"", ""Iron"", ""Sound system with aux"", ""Fire extinguisher"", ""Bidet"", ""Dryer"", ""Induction stove"", ""Private patio or balcony"", ""Essentials"", ""Marks and Web conditioner"", ""Freezer"", ""Coffee"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Bathtub"", ""Books and reading material"", ""First aid kit"", ""Marks and Web body soap"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Hot water kettle"", ""Air conditioning"", ""Microwave"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cleaning products"", ""Cooking basics"", ""Dining table"", ""TV""]","JPY 31,772.00",72,4.89,t,6,1.55
1394409,https://www.airbnb.com/rooms/1394409,2025-09-29,Room in Mejiro/Ikebukuro (2of2) for 1 person,7537357,Yayoi,t,2.0,Toshima Ku,35.72415,139.70151,Private room in home,Private room,1,2.0,1.0,2.0,"[""Keypad"", ""Hangers"", ""Hot water"", ""Clothing storage"", ""Shampoo"", ""Washer"", ""Fire extinguisher"", ""Essentials"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Wifi"", ""Bathtub"", ""Heating"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Carbon monoxide alarm""]","JPY 7,286.00",30,4.71,t,2,1.62
